,title,year,journal
5116,NeuroIS - Alternative or Complement to Existing Methods? Illustrating the Holistic Effects of Neuroscience and Self-Reported Data in the Context of Technostress Research,2014,Journal of the Association for Information Systems
5117,"Concentration, Competence, Confidence, and Capture - An Experimental Study of Age, Interruption-based Technostress, and Task Performance",2018,Journal of the Association for Information Systems
5118,Redesigning Human Systems,2003,The Journal of Strategic Information Systems
5123,Managing Flexibility in Outsourcing,2006,Journal of the Association for Information Systems
5129,The Role of IS Capabilities in the Development of Multi-Sided Platforms - The Digital Ecosystem Strategy of Alibaba.com,2015,Journal of the Association for Information Systems
5131,Contributing to rigorous and forward thinking explanatory theory,2008,Journal of the Association for Information Systems
5136,Empowerment of Grassroots Consumers - A Revelatory Case of a Chinese Fintech Innovation,2021,Journal of the Association for Information Systems
5137,Optimal Strategies for a Monopoly Intermediary in the Supply Chain of Complementary Web Services,2006,Journal of Management Information Systems
5139,Content Contribution for Revenue Sharing and Reputation in Social Media - A Dynamic Structural Model,2012,Journal of Management Information Systems
5141,"Gaining Trust Through Online Privacy Protection - Self-Regulation, Mandatory Standards, or Caveat Emptor",2008,Journal of Management Information Systems
5148,The Role of Information Technology in Risk/Return Relations of Firms,2004,Journal of the Association for Information Systems
5151,Identity ambiguity and the promises and practices of hybrid e-HRM project teams,2013,The Journal of Strategic Information Systems
5153,Research in Information Systems - Intra-Disciplinary and Inter-Disciplinary Approaches,2018,Journal of the Association for Information Systems
5156,Understanding the influence of information systems competencies on process innovation: A resource-based view,2007,The Journal of Strategic Information Systems
5163,"Remote, Mobile, and Blue-Collar: ICT-Enabled Job Crafting to Elevate Occupational Well-Being",2022,Journal of the Association for Information Systems
5166,Impact of the Information Technology Unit on Information Technology-Embedded Product Innovation,2018,Journal of the Association for Information Systems
5167,Impact of Technostress on End-User Satisfaction and Performance,2010,Journal of Management Information Systems
5168,The Impact of Technostress on Role Stress and Productivity,2007,Journal of Management Information Systems
5169,Information systems assimilation in Indian organizations: An examination of strategic and organizational imperatives,2006,The Journal of Strategic Information Systems
5170,Disintermediation of traditional chemical intermediary roles in the Electronic Business-to-Business (e-B2B) exchange world,2011,The Journal of Strategic Information Systems
5176,Is There a Global Digital Divide for Digital Wireless Phone Technologies?,2005,Journal of the Association for Information Systems
5186,Performance And Satisfaction In Adaptive Websites - An Experiment On Searches Within A Task-Adapted Website,2001,Journal of the Association for Information Systems
5189,The Market Structure for Internet Search Engines,2004,Journal of Management Information Systems
5190,Patch Release Behaviors of Software Vendors in Response to Vulnerabilities - An Empirical Analysis,2012,Journal of Management Information Systems
5193,Development of a Measure for the Organizational Learning Construct,2002,Journal of Management Information Systems
5197,Leveraging IT resources and capabilities at the housing and development board,2003,The Journal of Strategic Information Systems
5198,Erratum to “Leveraging IT resources and capabilities at the housing and development board” [J. Strategic Inf. Syst. 12 (2003) 229–249],2004,The Journal of Strategic Information Systems
5199,Trust and Electronic Government Success: An Empirical Study,2008,Journal of Management Information Systems
5204,Strategic information systems planning: A case study from the financial services industry,2007,The Journal of Strategic Information Systems
5205,"The Impact of Computerized Agents on Immediate Emotions, Overall Arousal and Bidding Behavior in Electronic Auctions",2015,Journal of the Association for Information Systems
5206,Privacy in the Sharing Economy,2019,Journal of the Association for Information Systems
5209,"The Impact of Technology Investments on a Firm's Production Efficiency, Product Quality, and Productivity",2001,Journal of Management Information Systems
5211,Understanding the Business Value of Information Technology Investments - Theoretical Evidence from Alternative Market and Cost Structures,2004,Journal of Management Information Systems
5213,Optimal Policy for Software Patents: Model and Comparative Implications,2009,Journal of Management Information Systems
5220,"RFID, privacy and the perception of risk: A strategic framework",2007,The Journal of Strategic Information Systems
5228,Through the Printing Press - An Account of Open Practices in the Swedish Newspaper Industry,2014,Journal of the Association for Information Systems
5230,How Much Method-in-Use Matters? A Case Study of Agile and Waterfall Software Projects and their Design Routine Variation,2020,Journal of the Association for Information Systems
5238,Mimetic Isomorphism and Technology Evaluation - Does Imitation Transcend Judgment?,2002,Journal of the Association for Information Systems
5239,An exploration of enterprise technology selection and evaluation,2004,The Journal of Strategic Information Systems
5242,Systems Development Ambidexterity - Explaining the Complementary and Substitutive Roles of Formal and Informal Controls,2010,Journal of Management Information Systems
5243,Novelty-Knowledge Alignment - A Theory of Design Convergence in Systems Development,2012,Journal of Management Information Systems
5246,"A Comparison of Transaction Cost, Agency, and Knowledge-Based Predictors of IT Outsourcing Decisions - A U.S.-Japan Cross-Cultural Field Study",2007,Journal of Management Information Systems
5247,Control in Internal and Outsourced Software Projects,2009,Journal of Management Information Systems
5252,Special Issue: Information Technology and Organizational Governance: The IT Governance Cube,2013,Journal of Management Information Systems
5253,Expertise Integration and Creativity in Information Systems Development,2005,Journal of Management Information Systems
5262,"Human Factors Research on Data Modeling: A Review of Prior Research, An Extended Framework and Future Research Directions",2002,Journal of Database Management
5264,"Adopting Free/Libre/Open Source Software Practices, Techniques and Methods for Industrial Use",2011,Journal of the Association for Information Systems
5285,The Use of Impression Management Strategies to Manage Stock Market Reactions to IT Failures,2018,Journal of the Association for Information Systems
5290,Enterprise Systems and Organizational Agility: A Review of the Literature and Conceptual Framework,2012,Communications of the Association for Information Systems
5291,High-Risk Deviant Decisions - Does Neutralization Still Play a Role?,2021,Journal of the Association for Information Systems
5293,Job Satisfaction in Agile Development Teams - Agile Development as Work Redesign,2016,Journal of the Association for Information Systems
5294,Knowledge risks in organizational networks: An exploratory framework,2012,The Journal of Strategic Information Systems
5295,Assessing Scholarly Influence - Using the Hirsch Indices to Reframe the Discourse,2009,Journal of the Association for Information Systems
5297,Theorizing in information systems research - A reflexive analysis of the adaptation of theory in information systems research,2006,Journal of the Association for Information Systems
5302,Too Engaged to Contribute? An Exploration of Antecedents and Dual Consequences of Newcomer Engagement in Online Social Groups,2021,Journal of the Association for Information Systems
5308,Adoption of electronic government services among business organizations in Singapore,2005,The Journal of Strategic Information Systems
5309,"Enterprise Social Networking: Opportunities, Adoption, and Risk Mitigation",2011,Journal of Organizational Computing and Electronic Commerce
5318,In Justice We Trust - Predicting User Acceptance of E-Customer Services,2008,Journal of Management Information Systems
5321,A Contingency Model for Requirements Development,2007,Journal of the Association for Information Systems
5323,Collaborative Technology in the Classroom - A Review of the GSS Research and a Research Framework,2001,Information Technology and Management
5326,A Systematic Review of Business and Information Technology Alignment,2013,ACM Transactions on Management Information Systems
5327,Valuation of IT Investments Using Real Options Theory,2013,Business & Information Systems Engineering
5329,Toward a Theory of Knowledge Reuse: Types of Knowledge Reuse Situations and Factors in Reuse Success,2001,Journal of Management Information Systems
5330,Editorial Introduction,2001,Journal of Management Information Systems
5331,Editorial,2001,The Journal of Strategic Information Systems
5332,Index of Volume,2001,The Journal of Strategic Information Systems
5333,A Model of Neutral B2B Intermediaries,2002,Journal of Management Information Systems
5334,Market Segmentation and Information Development Costs in a Two-Tiered Fee-Based and Sponsorship-Based Web Site,2002,Journal of Management Information Systems
5335,Magid Igbaria (1958-2002): Remembering a Scholar,2002,Journal of Management Information Systems
5336,"Turnover of Information Technology Workers: Examining Empirically the Influence of Attitudes, Job Characteristics, and External Markets",2002,Journal of Management Information Systems
5337,Editorial Introduction,2002,Journal of Management Information Systems
5340,Team Boundary Issues Across Multiple Global Firms,2003,Journal of Management Information Systems
5341,Editorial Introduction,2003,Journal of Management Information Systems
5342,"Knowledge Management Enablers, Processes, and Organizational Performance: An Integrative View and Empirical Examination",2003,Journal of Management Information Systems
5343,Exploring the Core Concepts of Media Richness Theory: The Impact of Cue Multiplicity and Feedback Immediacy on Decision Quality,2003,Journal of Management Information Systems
5344,Relating Collaborative Technology Use to Teamwork Quality and Performance: An Empirical Analysis,2003,Journal of Management Information Systems
5345,Investigating Determinants of Software Developers' Intentions to Follow Methodologies,2003,Journal of Management Information Systems
5346,Nearing the Threshold: An Economics Approach to Pressure on Information Systems Professionals to Separate from Their Employer,2003,Journal of Management Information Systems
5347,Product-Based Workflow Design,2003,Journal of Management Information Systems
5348,Software Piracy in the Workplace: A Model and Empirical Test,2003,Journal of Management Information Systems
5349,Organizing Visions for Information Technology and the Information Systems Executive Response,2003,Journal of Management Information Systems
5350,Extending Critical Success Factors Methodology to Facilitate Broadly Participative Information Systems Planning,2003,Journal of Management Information Systems
5351,Connecting readers to the research information they need,2003,The Journal of Strategic Information Systems
5352,Editorial,2003,The Journal of Strategic Information Systems
5353,Outside back cover,2003,The Journal of Strategic Information Systems
5354,Publishers Note,2003,The Journal of Strategic Information Systems
5355,Outside back cover,2003,The Journal of Strategic Information Systems
5356,Outside back Cover,2004,The Journal of Strategic Information Systems
5357,Inside front cover,2004,The Journal of Strategic Information Systems
5358,Inside front cover,2004,The Journal of Strategic Information Systems
5359,Outside back cover,2004,The Journal of Strategic Information Systems
5360,Inside front cover,2004,The Journal of Strategic Information Systems
5361,Outside back cover,2004,The Journal of Strategic Information Systems
5366,Outside back cover,2005,The Journal of Strategic Information Systems
5367,Inside front cover,2005,The Journal of Strategic Information Systems
5368,Inside front cover,2005,The Journal of Strategic Information Systems
5369,Outside back cover,2005,The Journal of Strategic Information Systems
5370,Editorial,2005,The Journal of Strategic Information Systems
5371,Inside front cover,2005,The Journal of Strategic Information Systems
5372,Outside back cover,2005,The Journal of Strategic Information Systems
5373,Inside front cover,2005,The Journal of Strategic Information Systems
5374,Outside back cover,2005,The Journal of Strategic Information Systems
5375,"Index to Journal of Management Information Systems Volume 22, 2005-6",2006,Journal of Management Information Systems
5376,Outside back cover,2006,The Journal of Strategic Information Systems
5377,Inside front cover,2006,The Journal of Strategic Information Systems
5378,Outside back cover,2006,The Journal of Strategic Information Systems
5379,Inside front cover,2006,The Journal of Strategic Information Systems
5380,Outside back cover,2006,The Journal of Strategic Information Systems
5381,List of The Journal of Strategic Information Systems Reviewers 2005,2006,The Journal of Strategic Information Systems
5382,Outside back cover,2006,The Journal of Strategic Information Systems
5383,Inside front cover,2006,The Journal of Strategic Information Systems
5385,"Index to Journal of Management Information Systems Volume 23, 2006-7",2007,Journal of Management Information Systems
5386,Inside front cover,2007,The Journal of Strategic Information Systems
5387,Outside back cover,2007,The Journal of Strategic Information Systems
5388,Inside front cover,2007,The Journal of Strategic Information Systems
5389,Outside back cover,2007,The Journal of Strategic Information Systems
5390,Inside front cover,2007,The Journal of Strategic Information Systems
5391,Outside back cover,2007,The Journal of Strategic Information Systems
5392,Outside back cover,2007,The Journal of Strategic Information Systems
5393,Inside front cover,2007,The Journal of Strategic Information Systems
5397,Inside front cover,2008,The Journal of Strategic Information Systems
5398,Outside back cover,2008,The Journal of Strategic Information Systems
5399,Outside back cover,2008,The Journal of Strategic Information Systems
5400,Inside front cover,2008,The Journal of Strategic Information Systems
5401,Inside front cover,2008,The Journal of Strategic Information Systems
5402,Outside back cover,2008,The Journal of Strategic Information Systems
5403,Journal of Strategic Information Systems,2008,The Journal of Strategic Information Systems
5404,JSIS Editorial December 2008,2008,The Journal of Strategic Information Systems
5405,Outside back cover,2008,The Journal of Strategic Information Systems
5406,Inside front cover,2008,The Journal of Strategic Information Systems
5408,"Index to Journal of Management Information Systems Volume 25, 2008-9",2009,Journal of Management Information Systems
5409,Inside front cover,2009,The Journal of Strategic Information Systems
5410,Outside back cover,2009,The Journal of Strategic Information Systems
5411,JSIS Editorial June 2009,2009,The Journal of Strategic Information Systems
5412,Outside back cover,2009,The Journal of Strategic Information Systems
5413,Inside front cover,2009,The Journal of Strategic Information Systems
5414,JSIS Editorial September 2009,2009,The Journal of Strategic Information Systems
5415,Inside front cover,2009,The Journal of Strategic Information Systems
5416,Outside back cover,2009,The Journal of Strategic Information Systems
5417,Outside back cover,2009,The Journal of Strategic Information Systems
5418,Inside front cover,2009,The Journal of Strategic Information Systems
5419,Journal of Strategic Information Systems Best Paper 2008,2009,The Journal of Strategic Information Systems
5421,"Index to Journal of Management Information Systems Volume 26, 2009-10",2010,Journal of Management Information Systems
5422,Inside front cover,2010,The Journal of Strategic Information Systems
5423,Outside back cover,2010,The Journal of Strategic Information Systems
5424,Inside front cover,2010,The Journal of Strategic Information Systems
5425,Outside back cover,2010,The Journal of Strategic Information Systems
5426,Inside front cover,2010,The Journal of Strategic Information Systems
5427,Outside back cover,2010,The Journal of Strategic Information Systems
5428,JSIS Editorial December 2010,2010,The Journal of Strategic Information Systems
5429,Journal of Strategic Information Systems Best Paper 2009,2010,The Journal of Strategic Information Systems
5430,Inside front cover,2010,The Journal of Strategic Information Systems
5431,Outside back cover,2010,The Journal of Strategic Information Systems
5433,"Index to Journal of Management Information Systems Volume 27, 2010-11",2011,Journal of Management Information Systems
5434,Inside front cover,2011,The Journal of Strategic Information Systems
5435,Outside back cover,2011,The Journal of Strategic Information Systems
5436,Outside back cover,2011,The Journal of Strategic Information Systems
5437,Inside front cover,2011,The Journal of Strategic Information Systems
5438,Inside front cover,2011,The Journal of Strategic Information Systems
5439,Outside back cover,2011,The Journal of Strategic Information Systems
5440,JSIS Editorial Dec 2011,2011,The Journal of Strategic Information Systems
5441,Inside front cover,2011,The Journal of Strategic Information Systems
5442,Outside back cover,2011,The Journal of Strategic Information Systems
5444,"Index to Journal of Management Information Systems Volume 28, 2011-12",2012,Journal of Management Information Systems
5445,Outside back cover,2012,The Journal of Strategic Information Systems
5446,Inside front cover,2012,The Journal of Strategic Information Systems
5447,Publisher’s Note,2012,The Journal of Strategic Information Systems
5448,Celebrating 20 years of JSIS,2012,The Journal of Strategic Information Systems
5449,Outside back cover,2012,The Journal of Strategic Information Systems
5450,Inside front cover,2012,The Journal of Strategic Information Systems
5451,Outside back cover,2012,The Journal of Strategic Information Systems
5452,"Editorial Vol. 21, Issue 3",2012,The Journal of Strategic Information Systems
5453,JSIS Editorial Dec 2012,2012,The Journal of Strategic Information Systems
5454,Inside front cover,2012,The Journal of Strategic Information Systems
5455,Outside back cover,2012,The Journal of Strategic Information Systems
5456,"Index to Journal of Management Information Systems Volume 29, 2012-13",2013,Journal of Management Information Systems
5457,Inside front cover,2013,The Journal of Strategic Information Systems
5458,Outside back cover,2013,The Journal of Strategic Information Systems
5459,Outside back cover,2013,The Journal of Strategic Information Systems
5460,Editorial,2013,The Journal of Strategic Information Systems
5461,Inside front cover,2013,The Journal of Strategic Information Systems
5462,Outside back cover,2013,The Journal of Strategic Information Systems
5463,Inside front cover,2013,The Journal of Strategic Information Systems
5464,Outside back cover,2013,The Journal of Strategic Information Systems
5465,JSIS Editorial Dec 2013,2013,The Journal of Strategic Information Systems
5466,Inside front cover,2013,The Journal of Strategic Information Systems
5595,The State of Research on Information Systems Success,2009,Business & Information Systems Engineering
5596,An empirical investigation of employee portal success,2010,The Journal of Strategic Information Systems
5597,Electronic Commerce Research: A Taxonomy and Synthesis,2002,Journal of Organizational Computing and Electronic Commerce
5599,The Development of Data Infrastructures for eHealth: A Socio-technical Perspective,2009,Journal of the Association for Information Systems
5600,Analysts and clients in organisational contexts: a conversational perspective,2001,The Journal of Strategic Information Systems
5606,Danger is in the eye of the beholders: Social representations of Information Systems security in healthcare,2007,The Journal of Strategic Information Systems
5614,Mining Online Social Networks - Deriving User Preferences through Node Embedding,2021,Journal of the Association for Information Systems
5618,An Activity Theory Approach to Modeling Dispatch-Mediated Emergency Response,2019,Journal of the Association for Information Systems
5619,An Activity Theory Approach to Leak Detection and Mitigation in Patient Health Information (PHI),2021,Journal of the Association for Information Systems
5620,"Of managers, ideas and jesters, and the role of information technology",2010,The Journal of Strategic Information Systems
5623,Evaluating Business Process Maturity Models,2017,Journal of the Association for Information Systems
5625,Concern for Information Privacy and Online Consumer Purchasing,2006,Journal of the Association for Information Systems
5626,Using Measures of Risk Perception to Predict Information Security Behavior - Insights from Electroencephalography (EEG),2014,Journal of the Association for Information Systems
5628,Examining Trust in Information Technology Artifacts - The Effects of System Quality and Culture,2008,Journal of Management Information Systems
5630,Using Accountability to Reduce Access Policy Violations in Information Systems,2013,Journal of Management Information Systems
5636,Mobile health: Four emerging themes of research,2014,Decision Support Systems
5638,A reference model for reputation systems,2014,Decision Support Systems
5639,Can Secure Behaviors Be Contagious? A Two-Stage Investigation of the Influence of Herd Behavior on Security Decisions,2020,Journal of the Association for Information Systems
5643,Finding a Needle in the Haystack - Recommending Online Communities on Social Media Platforms Using Network and Design Science,2021,Journal of the Association for Information Systems
5645,Centralizing Data Management with Considerations of Uncertainty and Information-Based Flexibility,2013,Journal of Management Information Systems
5654,Guidelines for Conducting Mixed-methods Research - An Extension and Illustration,2016,Journal of the Association for Information Systems
5655,"Dead Or Alive? The Development, Trajectory And Future Of Technology Adoption Research",2007,Journal of the Association for Information Systems
5661,IT Use and Job Outcomes: A Longitudinal Field Study of Technology Contingencies,2022,Journal of the Association for Information Systems
5671,Unified Theory of Acceptance and Use of Technology - A Synthesis and the Road Ahead,2016,Journal of the Association for Information Systems
5672,Hype or Help? A Longitudinal Field Study of Virtual World Use for Team Collaboration,2012,Journal of the Association for Information Systems
5680,Toward a Better Use of the Semantic Differential in IS Research - An Integrative Framework of Suggested Action,2015,Journal of the Association for Information Systems
5685,Research in Information Systems - An Empirical Study of Diversity in the Discipline and Its Journals,2002,Journal of Management Information Systems
5686,The Dynamics of Sustainable IS Alignment - The Case for IS Adaptivity,2013,Journal of the Association for Information Systems
5695,The Effects of Information Request Language and Template Usage on Query Formulation,2016,Journal of the Association for Information Systems
5696,Editorial Introduction: Cultivating and securing the information supply chain,2008,Journal of the Association for Information Systems
5697,Contents Matching Defined by Prototypes - Methodology Verification with Books of the Bible,2002,Journal of Management Information Systems
5699,Impact of Internal Open Source Development on Reuse - Participatory Reuse in Action,2010,Journal of Management Information Systems
5700,Enhancing Analysts' Mental Models for Improving Requirements Elicitation - A Two-stage Theoretical Framework and Empirical Results,2016,Journal of the Association for Information Systems
5704,Two Rule-Based Natural Language Strategies for Requirements Discovery and Classification in Open Source Software Development Projects,2012,Journal of Management Information Systems
5706,"Enterprise systems, knowledge transfer and power users",2004,The Journal of Strategic Information Systems
5710,The Order Machine – The Ontology of Information Security,2012,Journal of the Association for Information Systems
5711,"If the Tree of IS Knowledge Falls in a Forest, Will Anyone Hear? - A Commentary on Grover et al",2006,Journal of the Association for Information Systems
5712,Information Systems is Not a Reference Discipline (And What We Can Do About It),2006,Journal of the Association for Information Systems
5714,Relationships Between Job Skills and Performance - A Study of Webmasters,2002,Journal of Management Information Systems
5717,Enterprise strategy management systems: current and next generation,2004,The Journal of Strategic Information Systems
5718,"Special Issue Part II: understanding the contextual influences on enterprise system design, implementation, use and evaluation",2005,The Journal of Strategic Information Systems
5719,Enabling Customer-Centricity Using Wikis and the Wiki Way,2006,Journal of Management Information Systems
5720,‘Best’ for whom?: the tension between ‘best practice’ ERP packages and diverse epistemic cultures in a university context,2004,The Journal of Strategic Information Systems
5721,Exploring the Importance of Participation in the Post-Implementation Period of an ES Project - A Neglected Area,2007,Journal of the Association for Information Systems
5723,Understanding Project Survival in an ES Environment - A Sociomaterial Practice Perspective,2010,Journal of the Association for Information Systems
5724,Evidence-Based Information Systems - A New Perspective and a Road Map for Research-Informed Practice,2018,Journal of the Association for Information Systems
5727,The influence of user affect in online information disclosure,2013,The Journal of Strategic Information Systems
5731,An Empirical Analysis of Data Requirements for Financial Forecasting with Neural Networks,2001,Journal of Management Information Systems
5733,Sequential adoption theory: A theory for understanding herding behavior in early adoption of novel technologies,2009,Journal of the Association for Information Systems
5734,Requesting Distant Robotic Action - An Ontology for Naming and Action Identification for Planning on the Mars Exploration Rover Mission,2007,Journal of the Association for Information Systems
5735,Organizational Violations of Externally Governed Privacy and Security Rules - Explaining and Predicting Selective Violations under Conditions of Strain and Excess,2016,Journal of the Association for Information Systems
5737,Managing culture creep: Toward a strategic model of user IT culture,2010,The Journal of Strategic Information Systems
5739,"Development, global futures and IS research: a polemic",2005,The Journal of Strategic Information Systems
5747,The Effects of Self-Regulated Learning Processes on E-Learning Outcomes in Organizational Settings,2012,Journal of Management Information Systems
5748,The Role of Information Technology in Technology-Mediated Learning - A Review of the Past for the Future,2007,Journal of Information Systems Education
5752,Popular concepts beyond organizations: Exploring new dimensions in information technology innovations,2009,Journal of the Association for Information Systems
5755,The moderating effect of the business strategic orientation on eCommerce adoption: Evidence from UK family run SMEs,2009,The Journal of Strategic Information Systems
5757,Recommendation Agents for Electronic Commerce - Effects of Explanation Facilities on Trusting Beliefs,2007,Journal of Management Information Systems
5758,Attributions of Trust in Decision Support Technologies - A Study of Recommendation Agents for E-Commerce,2008,Journal of Management Information Systems
5771,Individual Virtual Competence and Its Influence on Work Outcomes,2011,Journal of Management Information Systems
5778,The IT Compensation Challenge - Theorizing the Balance Among Multi-Level Internal and External Uncertainties,2014,Journal of the Association for Information Systems
5780,A Meta-Analysis Comparing the Sunk Cost Effect for IT and Non-IT Projects,2007,Information Resources Management Journal
5781,ERP Misfit - Country of Origin and Organizational Factors,2006,Journal of Management Information Systems
5782,Why We Cannot Resist Our Smartphones - Investigating Compulsive Use of Mobile SNS from a Stimulus-Response-Reinforcement Perspective,2020,Journal of the Association for Information Systems
5783,Overconfidence in Phishing Email Detection,2016,Journal of the Association for Information Systems
5786,Mitigating Information Asymmetry to Achieve Crowdfunding Success - Signaling and Online Communication,2021,Journal of the Association for Information Systems
5787,Resource Structuring or Capability Building? An Empirical Study of the Business Value of Information Technology,2012,Journal of Management Information Systems
5790,Digital Natives and Digital Immigrants,2013,Business & Information Systems Engineering
5795,Editorial - Beyond the Factory Paradigm - Digital Nomadism and the Digital Future(s) of Knowledge Work Post-COVID-19,2020,Journal of the Association for Information Systems
5799,A Virtual Integration Theory of Improved Supply-Chain Performance,2006,Journal of Management Information Systems
5801,Improving inventory effectiveness in RFID-enabled global supply chain with Grey forecasting model,2011,The Journal of Strategic Information Systems
5804,"Same Coin, Different Sides: Differential Impact of Social Learning on Two Facets of Music Piracy",2011,Journal of Management Information Systems
5805,Mitigating IT Professionals’ Turnover in Non-IT Organizations: An Organizational Identification Perspective,2022,Journal of the Association for Information Systems
5807,Effects of Emoticons on the Acceptance of Negative Feedback in Computer-Mediated Communication,2014,Journal of the Association for Information Systems
5808,"A literature review of electronic marketplace research: Themes, theories and an integrative framework",2008,Information Systems Frontiers
5809,Information systems strategy: Quo vadis?,2012,The Journal of Strategic Information Systems
5810,A framework for addressing the organisational issues of enterprise systems implementation,2005,The Journal of Strategic Information Systems
5814,Shared Benefits and Information Privacy - What Determines Smart Meter Technology Adoption?,2017,Journal of the Association for Information Systems
5816,Neural Correlates of Protection Motivation for Secure IT Behaviors - An fMRI Examination,2016,Journal of the Association for Information Systems
5819,Collective Action and Knowledge Contribution in Electronic Networks of Practice,2004,Journal of the Association for Information Systems
5821,Information systems and evidence-based policy in multi-agency networks: The micro-politics of situated innovation,2006,The Journal of Strategic Information Systems
5826,"Facts, myths and thought-styles… and a rallying cry for civic engagement",2010,The Journal of Strategic Information Systems
5827,Determinants of IS sourcing decisions: A comparative study of transaction cost theory versus the resource-based view,2005,The Journal of Strategic Information Systems
5828,A Personal Perspective on a Conceptual Foundation for Information Systems,2014,Journal of the Association for Information Systems
5830,Green projects: An information drives analysis of four cases,2011,The Journal of Strategic Information Systems
5831,Constraining Opportunism in Information Systems Consulting - A Three Nation Examination,2019,Journal of the Association for Information Systems
5832,Sustainable Energy Transition: Intermittency Policy Based on Digital Mirror Actions,2022,Journal of the Association for Information Systems
5835,Network Externalities and Technology Use - A Quantitative Analysis of Intraorganizational Blogs,2010,Journal of Management Information Systems
5837,Information Personalization in a Two-Dimensional Product Differentiation Model,2009,Journal of Management Information Systems
5839,Innovative IT climates: CIO perspectives,2006,The Journal of Strategic Information Systems
5841,Capitalizing on Content - Information Adoption in Two Online communities,2008,Journal of the Association for Information Systems
5843,A Method to Bridge the Gap between Breadth and Depth in IS Narrative Analysis,2007,Journal of the Association for Information Systems
5852,Reach and Grasp in the Debate over the IS Core - An Empty Hand?,2006,Journal of the Association for Information Systems
5853,Evaluating and Developing Theories in the Information Systems Discipline,2012,Journal of the Association for Information Systems
5855,What drives global ICT adoption? Analysis and research directions,2011,Electronic Commerce Research and Applications
5860,Accommodating Individual Preferences in the Categorization of Documents - A Personalized Clustering Approach,2006,Journal of Management Information Systems
5862,Preserving User Preferences in Automated Document-Category Management - An Evolution-Based Approach,2009,Journal of Management Information Systems
5863,Managing Word Mismatch Problems in Information Retrieval: A Topic-Based Query Expansion Approach,2007,Journal of Management Information Systems
5864,Willingness to Continue with Software Projects - Effects of Feedback Direction and Optimism under High and Low Accountability Conditions,2003,Journal of the Association for Information Systems
5870,Diffusion of Innovations and the Theory of Planned Behavior in Information Systems Research: A Metaanalysis,2014,Communications of the Association for Information Systems
5875,Online Impulse Buying - Understanding the Interplay between Consumer Impulsiveness and Website Quality,2011,Journal of the Association for Information Systems
5878,Pricing or Advertising? A Game-Theoretic Analysis of Online Retailing,2019,Journal of the Association for Information Systems
5882,Unpacking the Difference Between Digital Transformation and IT-Enabled Organizational Transformation,2021,Journal of the Association for Information Systems
5891,Editorial - The Role of Information Systems in Enabling Open Innovation,2014,Journal of the Association for Information Systems
5894,Collective outsourcing to Market (COM): A market-based framework for information supply chain outsourcing,2008,Journal of the Association for Information Systems
5896,Organizational Learning and Capabilities for Onshore and Offshore Business Process Outsourcing,2010,Journal of Management Information Systems
5899,The adoption of consortium B2B e-marketplaces: An exploratory study,2007,The Journal of Strategic Information Systems
5904,Privacy and Security in the Cloud: A Review of Guidance and Responses,2013,Journal of International Technology & Information Management
5905,Measuring switching costs in IT outsourcing services,2006,The Journal of Strategic Information Systems
5906,Monitoring the Complexity of IT Architectures - Design Principles and an IT Artifact,2020,Journal of the Association for Information Systems
5911,Information Systems Offshoring - A Literature Review and Analysis,2010,Communications of the Association for Information Systems
5913,Information Technology Standards Choices and Industry Structure Outcomes - The Case of the U.S. Home Mortgage Industry,2005,Journal of Management Information Systems
5914,Post-merger IT integration strategies: An IT alignment perspective,2006,The Journal of Strategic Information Systems
5933,A Tale of Two Deterrents - Considering the Role of Absolute and Restrictive Deterrence to Inspire New Directions in Behavioral and Organizational Security Research,2018,Journal of the Association for Information Systems
5936,Information Systems and Healthcare XXXIV - Clinical Knowledge Management Systems - Literature Review and Research Issues for Information Systems,2010,Communications of the Association for Information Systems
5939,"Power, politics and persuasion in IS evaluation: a focus on ‘relevant social groups’",2005,The Journal of Strategic Information Systems
5941,"E-profiles, Conflict, and Shared Understanding in Distributed Teams",2015,Journal of the Association for Information Systems
5945,Horizontal Allocation of Decision Rights for On-Premise Applications and Software-as-a-Service,2013,Journal of Management Information Systems
5949,The Personal in the Policy Cascade,2019,Journal of the Association for Information Systems
5955,A Framework for Assessing the Global Diffusion of the Internet,2001,Journal of the Association for Information Systems
5957,Negotiation Support Systems in Budget Negotiations: An Experimental Analysis,2005,Journal of Management Information Systems
5960,Value of Information Integration to Supply Chain Management: Roles of Internal and External Contingencies,2011,Journal of Management Information Systems
5965,The Impact of Goal-Congruent Feature Additions on Core IS Feature Use - When More Is Less and Less Is More,2019,Journal of the Association for Information Systems
5966,Cyberbullying Victimization through Social Networking Sites and Adjustment Difficulties - The Role of Parental Mediation,2018,Journal of the Association for Information Systems
5968,The Influence of Experiential and Dispositional Factors in Phishing - An Empirical Investigation of the Deceived,2010,Journal of Management Information Systems
5970,A Mixed Methods Approach to Technology Acceptance Research,2012,Journal of the Association for Information Systems
5972,Best Pricing Strategy for Information Services,2010,Journal of the Association for Information Systems
5973,Understanding user adaptation toward a new IT system in organizations: A social network perspective,2017,Journal of the Association for Information Systems
5978,Examining Knowledge Management Enabled Performance for Hospital Professionals - A Dynamic Capability View and the Mediating Role of Process Capability,2012,Journal of the Association for Information Systems
5982,"Effects of Extrinsic and Intrinsic Motivators on Using Utilitarian, Hedonic, and Dual-Purposed Information Systems - A Meta-Analysis",2013,Journal of the Association for Information Systems
